,,,OVERALL BOARD EXAM PERFORMANCE (70%),,,,,,OTHER CRITERIA (30%),,,,,
RANK,SCHOOL,OVERALL SCORE,PASSED,FAILED,TOTAL,Weighted Ave. (PASSED) (40%),No. of Examinees (20%),With Top Examinees (10%),Accreditation Level,Accreditation Level Score (20%),Faculty-Student Ratio (FSR),No. of Students per Faculty,FSR Score (10%),
1,UNIVERSITY OF SANTO TOMAS,84.47,278,40,318,87.42%,100,90,Level II,60,1:14,14,85,
2,UNIVERSITY OF THE PHILIPPINES-DILIMAN,77.85,61,1,62,98.39%,40,100,Independent,60,1:15,15,85,
3,SAINT LOUIS UNIVERSITY,72.57,160,46,206,77.67%,100,80,Not Accredited,30,1:28,28,75,
4,UNIVERSITY OF SAN CARLOS,70.39,116,17,133,87.22%,70,70,Not Accredited,30,1:16,16,85,
5,MAPUA UNIVERSITY-MANILA,70.18,80,15,95,84.21%,50,90,Level I,50,1:23,23,75,
6,TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,70.03,61,14,75,81.33%,40,100,Level II,60,1:21,21,75,
7,DE LA SALLE UNIVERSITY-COLLEGE OF SAINT BENILDE,69.73,83,20,103,80.58%,60,90,Candidate,40,1:13,13,85,
8,PAMANTASAN NG LUNGSOD NG MAYNILA,66.65,58,8,66,87.88%,40,40,Independent,60,1:21,21,75,
9,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN,66.57,87,25,112,77.68%,60,40,Level II,60,1:27,27,75,
10,BULACAN STATE UNIVERSITY-MALOLOS,65.91,76,31,107,71.03%,60,40,Level III,70,1:28,28,75,
11,HOLY ANGEL UNIVERSITY,65.78,112,41,153,73.20%,80,40,Level I,50,1:32,32,65,
12,ATENEO DE DAVAO UNIVERSITY,62.57,55,6,61,90.16%,40,40,Not Accredited,30,1:14,14,85,
13,DE LA SALLE UNIVERSITY-DASMARIÑAS,59.83,35,7,42,83.33%,30,40,Candidate,40,1:15,15,85,
14,SAINT LOUIS COLLEGE OF SAN FERNANDO,57.50,36,9,45,80.00%,30,40,Candidate,40,1:26,26,75,
15,UNIVERSITY OF SAINT LOUIS-TUGUEGARAO,55.08,45,12,57,78.95%,30,40,Not Accredited,30,1:23,23,75,
